Datetime,Product_id,Quantity,Quarter
2023-01-15,001-002-002,8,2023-Q1
2023-01-15,001-003-002,1,2023-Q1
2023-01-15,001-002-002,4,2023-Q1
2023-01-15,001-003-003,15,2023-Q1
2023-01-15,001-003-002,8,2023-Q1
2023-01-16,001-001-001,4,2023-Q1
2023-01-16,001-002-002,14,2023-Q1
2023-01-16,001-003-003,6,2023-Q1
2023-01-16,001-003-003,1,2023-Q1
2023-01-16,001-003-002,9,2023-Q1
2023-01-16,001-001-004,17,2023-Q1
2023-01-16,001-003-003,7,2023-Q1
2023-01-16,001-003-003,1,2023-Q1
2023-01-16,001-003-002,2,2023-Q1
2023-01-17,001-003-002,5,2023-Q1
2023-01-17,001-002-003,4,2023-Q1
2023-01-17,001-001-001,1,2023-Q1
2023-01-17,001-001-004,3,2023-Q1
2023-01-17,001-001-003,2,2023-Q1
2023-01-17,001-003-002,4,2023-Q1
2023-01-17,001-002-004,5,2023-Q1
2023-01-17,001-003-003,1,2023-Q1
2023-01-17,001-002-004,4,2023-Q1
2023-01-17,001-001-001,8,2023-Q1
2023-01-17,001-001-001,14,2023-Q1
2023-01-17,001-003-002,5,2023-Q1
2023-01-18,001-002-002,5,2023-Q1
2023-01-18,001-002-004,13,2023-Q1
2023-01-18,001-002-001,18,2023-Q1
2023-01-18,001-003-002,5,2023-Q1
2023-01-18,001-002-003,9,2023-Q1
2023-01-18,001-003-002,3,2023-Q1
2023-01-18,001-001-002,14,2023-Q1
2023-01-19,001-002-003,6,2023-Q1
2023-01-19,001-003-003,4,2023-Q1
2023-01-19,001-003-002,3,2023-Q1
2023-01-19,001-001-001,8,2023-Q1
2023-01-19,001-001-004,19,2023-Q1
2023-01-19,001-002-003,15,2023-Q1
2023-01-19,001-002-004,4,2023-Q1
2023-01-19,001-001-003,2,2023-Q1
2023-01-20,001-003-002,2,2023-Q1
2023-01-20,001-002-004,8,2023-Q1
2023-01-20,001-002-001,14,2023-Q1
2023-01-20,001-001-002,18,2023-Q1
2023-01-20,001-001-003,23,2023-Q1
2023-01-20,001-003-002,1,2023-Q1
2023-01-20,001-003-003,8,2023-Q1
2023-01-20,001-001-003,12,2023-Q1
2023-01-21,001-003-003,3,2023-Q1
2023-01-21,001-002-002,7,2023-Q1
2023-01-21,001-003-002,15,2023-Q1
2023-01-21,001-003-003,24,2023-Q1
2023-01-21,001-002-003,16,2023-Q1
2023-01-21,001-002-003,4,2023-Q1
2023-01-21,001-001-002,3,2023-Q1
2023-01-21,001-003-003,2,2023-Q1
2023-01-23,001-002-004,2,2023-Q1
2023-01-23,001-001-004,5,2023-Q1
2023-01-23,001-003-002,14,2023-Q1
2023-01-23,001-003-002,3,2023-Q1
2023-01-23,001-002-003,2,2023-Q1
2023-01-23,001-002-002,4,2023-Q1
2023-01-23,001-002-004,21,2023-Q1
2023-01-23,001-002-003,1,2023-Q1
2023-01-24,001-003-002,13,2023-Q1
2023-01-24,001-003-002,25,2023-Q1
2023-01-24,001-001-003,8,2023-Q1
2023-01-24,001-003-002,1,2023-Q1
2023-01-24,001-001-003,7,2023-Q1
2023-01-24,001-002-001,5,2023-Q1
2023-01-24,001-003-003,11,2023-Q1
2023-01-25,001-002-001,2,2023-Q1
2023-01-25,001-002-004,6,2023-Q1
2023-01-25,001-003-003,15,2023-Q1
2023-01-25,001-003-003,4,2023-Q1
2023-01-25,001-001-003,5,2023-Q1
2023-01-25,001-003-002,4,2023-Q1
2023-01-25,001-003-002,19,2023-Q1
2023-01-26,001-001-003,4,2023-Q1
2023-01-26,001-001-003,8,2023-Q1
2023-01-26,001-003-003,1,2023-Q1
2023-01-26,001-001-003,2,2023-Q1
2023-01-26,001-002-004,23,2023-Q1
2023-01-26,001-003-003,4,2023-Q1
2023-01-26,001-001-003,11,2023-Q1
2023-01-26,001-002-003,4,2023-Q1
2023-01-27,001-003-003,12,2023-Q1
2023-01-27,001-001-003,1,2023-Q1
2023-01-27,001-001-003,2,2023-Q1
2023-01-27,001-002-004,15,2023-Q1
2023-01-27,001-001-003,5,2023-Q1
2023-01-27,001-003-002,11,2023-Q1
2023-01-27,001-003-003,8,2023-Q1
2023-01-27,001-003-003,4,2023-Q1
2023-01-27,001-001-001,2,2023-Q1
2023-01-28,001-003-002,1,2023-Q1
2023-01-28,001-001-002,4,2023-Q1
2023-01-28,001-003-003,20,2023-Q1
2023-01-28,001-003-002,3,2023-Q1
2023-01-28,001-001-004,24,2023-Q1
2023-01-28,001-001-004,2,2023-Q1
2023-01-28,001-001-002,27,2023-Q1
2023-01-28,001-003-002,4,2023-Q1
2023-01-28,001-003-003,21,2023-Q1
2023-01-30,001-002-003,14,2023-Q1
2023-01-30,001-003-003,4,2023-Q1
2023-01-30,001-001-002,6,2023-Q1
2023-01-30,001-003-003,3,2023-Q1
2023-01-30,001-002-001,3,2023-Q1
2023-01-30,001-003-002,18,2023-Q1
2023-01-30,001-001-003,7,2023-Q1
2023-01-30,001-002-003,8,2023-Q1
2023-01-30,001-001-002,3,2023-Q1
2023-01-30,001-003-002,3,2023-Q1
2023-01-30,001-003-003,20,2023-Q1
2023-01-31,001-003-003,1,2023-Q1
2023-01-31,001-003-002,9,2023-Q1
2023-01-31,001-001-004,3,2023-Q1
2023-01-31,001-002-002,3,2023-Q1
2023-01-31,001-003-003,4,2023-Q1
2023-01-31,001-003-002,2,2023-Q1
2023-01-31,001-001-003,9,2023-Q1
2023-01-31,001-001-004,4,2023-Q1
2023-01-31,001-003-002,10,2023-Q1
2023-02-01,001-001-002,16,2023-Q1
2023-02-01,001-003-003,2,2023-Q1
2023-02-01,001-001-001,3,2023-Q1
2023-02-01,001-002-003,1,2023-Q1
2023-02-01,001-001-004,23,2023-Q1
2023-03-03,001-003-002,9,2023-Q1
2023-03-03,001-001-003,7,2023-Q1
2023-03-03,001-003-003,5,2023-Q1
2023-03-03,001-002-002,1,2023-Q1
2023-03-03,001-003-003,15,2023-Q1
2023-03-03,001-002-001,3,2023-Q1
2023-02-04,001-002-002,17,2023-Q1
2023-02-04,001-003-003,5,2023-Q1
2023-02-04,001-001-004,3,2023-Q1
2023-02-04,001-003-001,1,2023-Q1
2023-02-04,001-002-003,2,2023-Q1
2023-02-04,001-001-001,2,2023-Q1
2023-02-04,001-001-002,3,2023-Q1
2023-02-06,001-003-006,4,2023-Q1
2023-02-06,001-003-002,1,2023-Q1
2023-02-06,001-001-003,2,2023-Q1
2023-02-06,001-002-004,3,2023-Q1
2023-02-06,001-003-005,7,2023-Q1
2023-02-06,001-002-001,24,2023-Q1
2023-02-07,001-001-001,8,2023-Q1
2023-02-07,001-003-004,12,2023-Q1
2023-02-07,001-002-003,1,2023-Q1
2023-02-07,001-001-002,8,2023-Q1
2023-02-07,001-003-003,4,2023-Q1
2023-02-07,001-003-002,9,2023-Q1
2023-02-07,001-003-004,2,2023-Q1
2023-02-08,001-002-003,1,2023-Q1
2023-02-08,001-001-003,8,2023-Q1
2023-02-08,001-002-002,2,2023-Q1
2023-02-08,001-002-001,11,2023-Q1
2023-02-08,001-003-005,5,2023-Q1
2023-02-08,001-002-004,5,2023-Q1
2023-02-09,001-003-006,4,2023-Q1
2023-02-09,001-001-004,17,2023-Q1
2023-02-09,001-001-002,11,2023-Q1
2023-02-09,001-001-003,6,2023-Q1
2023-02-09,001-003-001,8,2023-Q1
2023-02-09,001-002-002,14,2023-Q1
2023-02-10,001-003-004,4,2023-Q1
2023-02-10,001-003-002,22,2023-Q1
2023-02-10,001-003-003,1,2023-Q1
2023-02-10,001-002-001,4,2023-Q1
2023-02-10,001-003-005,1,2023-Q1
2023-02-10,001-003-006,3,2023-Q1
2023-02-10,001-001-004,5,2023-Q1
2023-02-10,001-003-001,2,2023-Q1
2023-02-11,001-003-002,2,2023-Q1
2023-02-11,001-002-004,11,2023-Q1
2023-02-11,001-003-005,7,2023-Q1
2023-02-11,001-001-004,2,2023-Q1
2023-02-11,001-003-001,6,2023-Q1
2023-02-11,001-002-003,3,2023-Q1
2023-02-11,001-002-004,9,2023-Q1
2023-02-13,001-003-001,14,2023-Q1
2023-02-13,001-002-002,5,2023-Q1
2023-02-13,001-002-003,1,2023-Q1
2023-02-13,001-002-003,3,2023-Q1
2023-02-13,001-001-003,2,2023-Q1
2023-02-13,001-003-006,23,2023-Q1
2023-02-13,001-002-003,2,2023-Q1
2023-02-14,001-003-005,25,2023-Q1
2023-02-14,001-003-003,16,2023-Q1
2023-02-14,001-003-003,6,2023-Q1
2023-02-14,001-002-001,2,2023-Q1
2023-02-14,001-003-004,7,2023-Q1
2023-02-14,001-003-004,24,2023-Q1
2023-02-15,001-003-005,16,2023-Q1
2023-02-15,001-002-004,2,2023-Q1
2023-02-15,001-003-002,1,2023-Q1
2023-02-15,001-003-002,10,2023-Q1
2023-02-15,001-003-001,13,2023-Q1
2023-02-15,001-003-003,4,2023-Q1
2023-02-15,001-003-002,1,2023-Q1
2023-02-16,001-003-001,3,2023-Q1
2023-02-16,001-001-002,20,2023-Q1
2023-02-16,001-003-006,7,2023-Q1
2023-02-16,001-002-001,1,2023-Q1
2023-02-16,001-003-001,9,2023-Q1
2023-02-16,001-001-003,12,2023-Q1
2023-02-16,001-003-002,2,2023-Q1
2023-02-16,001-001-003,14,2023-Q1
2023-02-17,001-001-002,22,2023-Q1
2023-02-17,001-001-004,1,2023-Q1
2023-02-17,001-003-003,3,2023-Q1
2023-02-17,001-002-002,5,2023-Q1
2023-02-17,001-003-006,2,2023-Q1
2023-02-17,001-003-002,4,2023-Q1
2023-02-18,001-001-004,3,2023-Q1
2023-02-18,001-001-003,10,2023-Q1
2023-02-18,001-001-003,2,2023-Q1
2023-02-18,001-003-005,1,2023-Q1
2023-02-18,001-002-002,2,2023-Q1
2023-02-18,001-002-003,4,2023-Q1
2023-02-18,001-002-001,30,2023-Q1
2023-02-18,001-003-003,21,2023-Q1
2023-02-18,001-003-002,19,2023-Q1
2023-02-18,001-001-002,1,2023-Q1
2023-02-20,001-003-004,14,2023-Q1
2023-02-20,001-003-003,4,2023-Q1
2023-02-20,001-003-003,5,2023-Q1
2023-02-20,001-002-001,6,2023-Q1
2023-02-20,001-003-002,18,2023-Q1
2023-02-20,001-003-004,9,2023-Q1
2023-02-20,001-002-004,6,2023-Q1
2023-02-21,001-001-001,7,2023-Q1
2023-02-21,001-001-003,4,2023-Q1
2023-02-21,001-003-005,16,2023-Q1
2023-02-21,001-002-004,4,2023-Q1
2023-02-21,001-002-004,1,2023-Q1
2023-02-21,001-003-002,6,2023-Q1
2023-02-22,001-003-004,5,2023-Q1
2023-02-22,001-003-006,1,2023-Q1
2023-02-22,001-001-001,2,2023-Q1
2023-02-22,001-002-003,11,2023-Q1
2023-02-22,001-002-004,2,2023-Q1
2023-02-22,001-003-003,2,2023-Q1
2023-02-22,001-003-002,16,2023-Q1
2023-02-23,001-001-004,5,2023-Q1
2023-02-23,001-003-002,22,2023-Q1
2023-02-23,001-002-004,3,2023-Q1
2023-02-23,001-003-001,4,2023-Q1
2023-02-23,001-003-005,7,2023-Q1
2023-02-23,001-003-002,2,2023-Q1
2023-02-24,001-002-003,2,2023-Q1
2023-02-24,001-003-003,4,2023-Q1
2023-02-24,001-003-001,5,2023-Q1
2023-02-24,001-003-002,1,2023-Q1
2023-02-24,001-003-004,2,2023-Q1
2023-02-24,001-001-002,18,2023-Q1
2023-02-25,001-001-003,17,2023-Q1
2023-02-25,001-003-006,5,2023-Q1
2023-02-25,001-003-004,2,2023-Q1
2023-02-25,001-003-005,2,2023-Q1
2023-02-25,001-001-002,2,2023-Q1
2023-02-25,001-003-003,3,2023-Q1
2023-02-27,001-003-001,1,2023-Q1
2023-02-27,001-002-001,3,2023-Q1
2023-02-27,001-002-004,22,2023-Q1
2023-02-27,001-003-001,18,2023-Q1
2023-02-27,001-003-005,2,2023-Q1
2023-02-27,001-003-003,5,2023-Q1
2023-02-28,001-003-004,1,2023-Q1
2023-02-28,001-003-001,9,2023-Q1
2023-02-28,001-002-002,3,2023-Q1
2023-02-28,001-002-004,2,2023-Q1
2023-02-28,001-001-004,1,2023-Q1
2023-02-28,001-003-001,5,2023-Q1
2023-02-28,001-001-003,2,2023-Q1
2023-03-01,001-003-005,4,2023-Q1
2023-03-01,001-002-004,2,2023-Q1
2023-03-01,001-003-002,5,2023-Q1
2023-03-01,001-003-001,11,2023-Q1
2023-03-01,001-002-003,3,2023-Q1
2023-03-01,001-001-003,10,2023-Q1
2023-03-01,001-001-001,1,2023-Q1
2023-03-01,001-002-004,4,2023-Q1
2023-03-02,001-003-003,6,2023-Q1
2023-03-02,001-003-004,16,2023-Q1
2023-03-02,001-003-002,21,2023-Q1
2023-03-02,001-003-001,3,2023-Q1
2023-03-02,001-003-006,2,2023-Q1
2023-03-02,001-003-004,3,2023-Q1
2023-03-02,001-001-004,4,2023-Q1
2023-03-02,001-003-002,7,2023-Q1
2023-03-03,001-002-002,5,2023-Q1
2023-03-03,001-001-003,1,2023-Q1
2023-03-03,001-003-006,2,2023-Q1
2023-03-03,001-002-003,20,2023-Q1
2023-03-03,001-003-005,1,2023-Q1
2023-03-03,001-003-004,6,2023-Q1
2023-03-03,001-001-001,12,2023-Q1
2023-03-03,001-003-002,1,2023-Q1
2023-03-04,001-003-001,13,2023-Q1
2023-03-04,001-002-003,3,2023-Q1
2023-03-04,001-003-005,1,2023-Q1
2023-03-04,001-002-001,8,2023-Q1
2023-03-04,001-001-002,22,2023-Q1
2023-03-04,001-003-006,1,2023-Q1
2023-03-06,001-001-001,12,2023-Q1
2023-03-06,001-002-003,21,2023-Q1
2023-03-06,001-002-004,5,2023-Q1
2023-03-06,001-001-003,2,2023-Q1
2023-03-06,001-003-002,1,2023-Q1
2023-03-07,001-002-004,21,2023-Q1
2023-03-07,001-003-003,14,2023-Q1
2023-03-07,001-001-004,2,2023-Q1
2023-03-07,001-003-004,23,2023-Q1
2023-03-07,001-003-005,2,2023-Q1
2023-03-08,001-002-001,2,2023-Q1
2023-03-08,001-003-006,5,2023-Q1
2023-03-08,001-003-001,9,2023-Q1
2023-03-08,001-002-004,1,2023-Q1
2023-03-08,001-003-004,5,2023-Q1
2023-03-08,001-003-005,6,2023-Q1
2023-03-08,001-001-003,21,2023-Q1
2023-03-08,001-003-002,24,2023-Q1
2023-03-09,001-002-003,17,2023-Q1
2023-03-09,001-003-001,1,2023-Q1
2023-03-09,001-003-006,3,2023-Q1
2023-03-09,001-002-004,4,2023-Q1
2023-03-09,001-001-002,5,2023-Q1
2023-03-10,001-003-003,4,2023-Q1
2023-03-10,001-002-001,1,2023-Q1
2023-03-10,001-001-003,18,2023-Q1
2023-03-10,001-003-005,5,2023-Q1
2023-03-10,001-003-002,6,2023-Q1
2023-03-10,001-003-004,3,2023-Q1
2023-03-10,001-002-003,14,2023-Q1
2023-03-10,001-003-001,7,2023-Q1
2023-03-11,001-003-006,3,2023-Q1
2023-03-11,001-002-004,9,2023-Q1
2023-03-11,001-001-001,13,2023-Q1
2023-03-11,001-003-003,1,2023-Q1
2023-03-11,001-001-004,3,2023-Q1
2023-03-11,001-002-002,18,2023-Q1
2023-03-13,001-003-004,6,2023-Q1
2023-03-13,001-002-003,5,2023-Q1
2023-03-13,001-002-004,2,2023-Q1
2023-03-13,001-003-002,3,2023-Q1
2023-03-13,001-002-003,9,2023-Q1
2023-03-13,001-003-001,7,2023-Q1
2023-03-13,001-001-002,4,2023-Q1
2023-03-14,001-003-005,23,2023-Q1
2023-03-14,001-002-001,14,2023-Q1
2023-03-14,001-001-003,5,2023-Q1
2023-03-14,001-002-004,13,2023-Q1
2023-03-14,001-003-002,3,2023-Q1
2023-03-14,001-001-004,2,2023-Q1
2023-03-14,001-003-006,8,2023-Q1
2023-03-14,001-001-001,10,2023-Q1
2023-03-15,001-003-003,24,2023-Q1
2023-03-15,001-002-002,1,2023-Q1
2023-03-15,001-003-001,5,2023-Q1
2023-03-15,001-003-005,7,2023-Q1
2023-03-15,001-001-002,4,2023-Q1
2023-03-15,001-003-004,9,2023-Q1
2023-03-15,001-002-004,7,2023-Q1
2023-03-16,001-003-003,3,2023-Q1
2023-03-16,001-003-002,5,2023-Q1
2023-03-16,001-002-003,5,2023-Q1
2023-03-16,001-003-006,3,2023-Q1
2023-03-16,001-001-004,15,2023-Q1
2023-03-16,001-002-005,10,2023-Q1
2023-03-17,001-001-003,6,2023-Q1
2023-03-17,001-003-001,4,2023-Q1
2023-03-17,001-002-004,3,2023-Q1
2023-03-17,001-003-004,7,2023-Q1
2023-03-18,001-002-003,1,2023-Q1
2023-03-18,001-003-002,2,2023-Q1
2023-03-18,001-003-006,15,2023-Q1
2023-03-18,001-002-001,4,2023-Q1
2023-03-18,001-001-004,3,2023-Q1
2023-03-18,001-003-005,1,2023-Q1
2023-03-20,001-003-003,12,2023-Q1
2023-03-20,001-001-003,6,2023-Q1
2023-03-20,001-002-002,1,2023-Q1
2023-03-20,001-003-001,6,2023-Q1
2023-03-20,001-001-001,14,2023-Q1
2023-03-20,001-003-004,2,2023-Q1
2023-03-21,001-003-002,3,2023-Q1
2023-03-21,001-002-003,17,2023-Q1
2023-03-21,001-003-006,3,2023-Q1
2023-03-21,001-001-004,6,2023-Q1
2023-03-21,001-003-003,14,2023-Q1
2023-03-22,001-002-004,8,2023-Q1
2023-03-22,001-001-002,9,2023-Q1
2023-03-22,001-003-001,9,2023-Q1
2023-03-22,001-003-005,4,2023-Q1
2023-03-22,001-001-004,1,2023-Q1
2023-03-22,001-003-005,2,2023-Q1
2023-03-22,001-003-002,6,2023-Q1
2023-03-23,001-002-004,13,2023-Q1
2023-03-23,001-003-001,9,2023-Q1
2023-03-23,001-001-004,4,2023-Q1
2023-03-23,001-003-006,3,2023-Q1
2023-03-23,001-001-001,23,2023-Q1
2023-03-23,001-002-002,3,2023-Q1
2023-03-24,001-002-003,2,2023-Q1
2023-03-24,001-003-003,2,2023-Q1
2023-03-24,001-001-003,14,2023-Q1
2023-03-24,001-002-004,6,2023-Q1
2023-03-24,001-003-002,45,2023-Q1
2023-03-25,001-003-005,1,2023-Q1
2023-03-25,001-002-001,3,2023-Q1
2023-03-25,001-003-004,4,2023-Q1
2023-03-25,001-003-006,23,2023-Q1
2023-03-25,001-003-001,5,2023-Q1
2023-03-25,001-002-002,3,2023-Q1
2023-03-25,001-003-003,7,2023-Q1
2023-03-25,001-002-003,8,2023-Q1
2023-03-27,001-001-002,4,2023-Q1
2023-03-27,001-001-003,1,2023-Q1
2023-03-27,001-003-001,15,2023-Q1
2023-03-27,001-003-002,8,2023-Q1
2023-03-27,001-003-003,2,2023-Q1
2023-03-28,001-003-005,3,2023-Q1
2023-03-28,001-003-004,27,2023-Q1
2023-03-28,001-003-001,1,2023-Q1
2023-03-28,001-003-006,4,2023-Q1
2023-03-28,001-001-004,28,2023-Q1
2023-03-28,001-002-001,2,2023-Q1
2023-03-28,001-002-003,1,2023-Q1
2023-03-29,001-001-001,3,2023-Q1
2023-03-29,001-003-002,10,2023-Q1
2023-03-29,001-003-005,18,2023-Q1
2023-03-29,001-002-004,26,2023-Q1
2023-03-29,001-002-003,1,2023-Q1
2023-03-30,001-003-004,6,2023-Q1
2023-03-30,001-002-002,19,2023-Q1
2023-03-30,001-003-001,3,2023-Q1
2023-03-30,001-001-002,4,2023-Q1
2023-03-30,001-002-004,22,2023-Q1
2023-03-30,001-003-006,13,2023-Q1
2023-03-30,001-001-003,8,2023-Q1
2023-03-30,001-003-003,7,2023-Q1
2023-03-31,001-003-002,10,2023-Q1
2023-03-31,001-002-001,4,2023-Q1
2023-03-31,001-002-003,1,2023-Q1
2023-03-31,001-003-001,5,2023-Q1
2023-03-31,001-003-004,4,2023-Q1
2023-03-31,001-003-001,2,2023-Q1
2023-03-31,001-002-002,2,2023-Q1
2023-03-31,001-002-004,3,2023-Q1
